id,title,desc,date,source,url,category
25,Ratusan TKI Ilegal dari Malaysia Dikarantina ,Ratusan Tenaga Kerja Indonesia (TKI) asal Sumatera Utara (Sumut) dan Aceh yang berstatus ilegal di Malaysia dipulangkan melalui Bandar Udara (Bandara) Kualanamu. Keseluruhan TKI tersebut akan di karantina 14 hari dan menjalani ,2020-04-09 18:51:00,Gatra.com,https://www.gatra.com/detail/news/475037/hukum/ratusan-tki-ilegal-dari-malaysia-dikarantina-,Hukum
26,Tolak Pakai Masker Satpam ini Tampar Perawat ,Pemerintah telah menginstruksikan seluruh warga Indonesia untuk menggunakan masker ketika keluar rumah demi mengurangi resiko penyebaran virus Corona (Covid19). Namun imbauan itu nampaknya masih saja ada yang menyepelekannya. ,2020-04-12 14:47:00,Gatra.com,https://www.gatra.com/detail/news/475259/hukum/tolak-pakai-masker-satpam-ini-tampar-perawat-,Hukum
27,Lima Penambang Ilegal di Tanah Datar Diringkus Polisi, Sebanyak lima orang penambang emas ilegal di kawasan aliran Sungai Batang Sinamar Kabupaten Tanah Datar Sumatra Barat (Sumbar) diringkus jajaran kepolisian setempat.,2020-04-09 20:28:00,Gatra.com,https://www.gatra.com/detail/news/475044/hukum/lima-penambang-ilegal-di-tanah-datar-diringkus-polisi,Hukum
28,Lima Sebab MAKI Gugat Pasal 27 Perppu Corona,Masyarakat Anti Korupsi Indonesia (MAKI) mengajukan uji materi ke Mahkamah Konstitusi (MK) untuk membatalkan pasal 27 Perppu No. 1 Tahun 2020 tentang Penanganan Corona 0904. Seperti diketahui Presiden Republik Indonesia Ir. Joko Widodo (Jokowi) telah menggunakan kewenangannya dalam bentuk menerbitkan Peraturan Pemerintan Pengganti Undang Undang (Perppu) No.1 tahun 2020 dengan judul yang cukup panjang. Yaitu Kebijakan Keuangan Negara dan Stabilitas Sistem Keuangan untuk Penanganan Pandemi Corona Virus Disesae 2019 (COVID19) danatau dalam Rangka Menghadapi Ancaman yang membahayakan perekonomian Nasional danatau Stabilitas Sistem Keuangan. Perppu itu akan menggunakan anggaran negara Rp405 Triliun.,2020-04-10 15:31:00,Gatra.com,https://www.gatra.com/detail/news/475111/hukum/lima-sebab-maki-gugat-pasal-27-perppu-corona,Hukum
29,Kepolisian Gandeng Pemkab Humbahas Cegah Hoaks Covid-19, Polisi Resort Humbang Hasundutan (Polres Humbahas) menjalin kerjasama untuk mencegah berita bohong (hoaks) terkait Covid19. Kerjsama ini dilakukan karena banyaknya informasi hoaks yang meresahkan masyarakat.,2020-04-11 14:26:00,Gatra.com,https://www.gatra.com/detail/news/475178/hukum/kepolisian-gandeng-pemkab-humbahas-cegah-hoaks-covid-19,Hukum
30,Polda Kepri Gerebek Diskotik Planet Batam 71 Orang Diciduk,"
							",2020-04-07 18:23:00,Gatra.com,https://www.gatra.com/detail/news/474761/hukum/polda-kepri-gerebek-diskotik-planet-batam-71-orang-diciduk,Hukum
31,Khofifah Belum Ada yang Ajukan PSBB di Jatim, Pemerintah Provinsi (Pemprov) Jawa Timur menyatakan akan menggodok panduan terkait penerapan Pembatasan Sosial Berskala Besar (PSBB). Namun hingga hari ini belum ada satu pun pemerintah kabupaten dan kota yang mengajukan surat penerapan PSBB.,2020-04-08 23:45:00,Gatra.com,https://www.gatra.com/detail/news/474938/hukum/khofifah-belum-ada-yang-ajukan-psbb-di-jatim,Hukum
32,Bupati Niga Minta Kapolres Tindak Akun Palsu Penyebar Hoaks, Bupati Sumba Barat Niga Dapawole meminta pihak Polres Sumba Barat untuk menindak tegas akunakun palsu penyebar hoaks yang meresahkan masyarakat.,2020-04-08 19:55:00,Gatra.com,https://www.gatra.com/detail/news/474907/hukum/bupati-niga-minta-kapolres-tindak-akun-palsu-penyebar-hoaks,Hukum
33,Komnas HAM Tolak Pemberian Remisi Napi Koruptor,"
",2020-04-09 13:20:00,Gatra.com,https://www.gatra.com/detail/news/474974/hukum/komnas-ham-tolak-pemberian-remisi-napi-koruptor,Hukum
34,Kurir 5 Kg Sabu Bersenjata Softgun Dibekuk BNNP Kepri,"
							",2020-04-09 15:26:00,Gatra.com,https://www.gatra.com/detail/news/474990/hukum/kurir-5-kg-sabu-bersenjata-softgun-dibekuk-bnnp-kepri,Hukum
35,Masuk ke Lombok Melalui Pelabuhan Lembar Harus Dipantau,Operasional penanganan Covid19 di Pelabuhan Lembar diambil alih Gugus Tugas Penanganan Covid19 Kabupaten Lombok Barat Nusa Tenggara Barat. Hal itu dimaksudkan untuk meyakinkan masyarakat bahwa penanganan Covid19 benarbenar dilakukan secara tepat sesuai prosedur.,2020-04-06 16:59:00,Gatra.com,https://www.gatra.com/detail/news/474618/hukum/masuk-ke-lombok-melalui-pelabuhan-lembar-harus-dipantau,Hukum
36,Sosialisasi Virus Corona Bakhtiar Dianiaya Warga,Peristiwa nahas menimpa Bakhtiar (51) Kepala Kampung Koto Rawang Lakitan Timur Kecamatan Lengayang Kabupaten Pesisir Selatan Sumatra Barat (Sumbar). Ia dipukul seorang warga usai sosialisasi bahaya ,2020-04-07 16:14:00,Gatra.com,https://www.gatra.com/detail/news/474725/hukum/sosialisasi-virus-corona-bakhtiar-dianiaya-warga,Hukum
37,12 Tersangka Penyebar Berita Hoaks COVID-19 Telah Ditahan,Kementerian Komunikasi dan Informatika (Kemenkominfo)  menegaskan informasi bohong atau hoaks merupakan bentuk pelanggaran hukum. Hingga saat ini penegakan hukum terhadap kasus hoaks sudah mencapai  77 kasus.,2020-04-08 14:56:00,Gatra.com,https://www.gatra.com/detail/news/474854/hukum/12-tersangka-penyebar-berita-hoaks-covid-19-telah-ditahan,Hukum
38, Ombudsman Sebut Ada Maladministrasi Kelangkaan Masker,Ombudsman Republik Indonesia mencermati kontroversi ekspor masker dan APD dengan maraknya ekspor masker dan APD di tengah kebutuhan domestik begitu tinggi menunjukkan indikasi telah terjadi maladministrasi dalam mata rantai produksi.,2020-04-08 13:50:00,Gatra.com,https://www.gatra.com/detail/news/474844/hukum/-ombudsman-sebut-ada--maladministrasi-kelangkaan-masker,Hukum
39,Baasyir Ajukan Asimilasi Di Tengah Wabah Covid-19,Pengasuh Pondok Pesantren AlMukmin Ngruki Sukoharjo Abu Bakar Ba'asyir mengajukan permohonan asilimasi dan hak integrasi pada Presiden Joko Widodo. Permohonan ini diajukan karena saat ini tengah terjadi wabah Covid19 yang melanda Indonesia.,2020-04-08 17:05:00,Gatra.com,https://www.gatra.com/detail/news/474871/hukum/baasyir-ajukan-asimilasi-di-tengah-wabah-covid-19,Hukum
40,Mau Penghapusan Denda Pajak Kendaraan? Sekarang Saatnya,Selama pandemi Coronavirus atau Covid19 Pemerintah Provinsi (Pemprov) Riau memberlakukan pemutihan denda Pajak Kendaraan Bermotor (PKB).,2020-04-06 17:33:00,Gatra.com,https://www.gatra.com/detail/news/474622/hukum/mau-penghapusan-denda-pajak-kendaraan-sekarang-saatnya,Hukum
41,Polisi Bekuk Tiga Orang Terkait Satu Kilogram Sabu di Batam,"
							",2020-04-07 05:36:00,Gatra.com,https://www.gatra.com/detail/news/474680/hukum/polisi-bekuk-tiga-orang-terkait-satu-kilogram-sabu-di-batam,Hukum
42,KPK Apresiasi Jokowi Tak Bebaskan Napi Korupsi Saat Pandemi,Komisi Pemberantasan Korupsi mengapresiasi Presiden Jokowi yang mengaskan tidak membebaskan napi korupsi karena wabah Covid19.,2020-04-06 15:39:00,Gatra.com,https://www.gatra.com/detail/news/474599/hukum/kpk-apresiasi-jokowi-tak-bebaskan-napi-korupsi-saat-pandemi,Hukum
43,Tangkap 18 Orang Akibat Langgar PSBB Tak Berdasar Hukum,Direktur Program dan Peneliti ICJR Erasmus Napitupulu mengatakan penangkapan 18 orang di Jakarta Pusat dengan alasan melanggar pembatasan sosial berskala besar (PSBB) tidak berdasar hukum.,2020-04-05 22:24:00,Gatra.com,https://www.gatra.com/detail/news/474542/hukum/tangkap-18-orang-akibat-langgar-psbb-tak-berdasar-hukum,Hukum
44,Dampak Corona 975 Narapidana di Sumbar Dibebaskan, Sebanyak 975 orang narapidana di Sumatera Barat (Sumbar) mendapat jatah asimilasi secara bertahap hingga Desember 2020. Jumlah tersebut tersebar di 23 lembaga pemasyarakatan (lapas) dan rumah tahanan (rutan) yang ada di provinsi ini.,2020-04-06 20:26:00,Gatra.com,https://www.gatra.com/detail/news/474639/hukum/dampak-corona-975-narapidana-di-sumbar-dibebaskan,Hukum
45,Polda Jateng Panggil Pimpinan Pondok dan Anak Syekh Puji,Kasus dugaan pernikahan anak di bawah umur yang kembali menyeret nama Pujiono Cahyo Widianto alias Syekh Puji  terus bergulir. Polda Jateng kembali memanggil dua orang saksi untuk dimintai keterangan. Sebelumnya Penyidik Polda Jateng sudah memeriksa 6 orang saksi dalam kasus tersebut.,2020-04-06 13:27:00,Gatra.com,https://www.gatra.com/detail/news/474584/hukum/polda-jateng-panggil-pimpinan-pondok-dan-anak-syekh-puji,Hukum
46,Jual Emas Palsu Tiga Pria di Sumbar Diringkus 1 DPO,Pihak kepolisian masih terus berupaya memburu pelaku sindikat penjualan emas palsu di Kabupaten Solok Selatan Sumatera Barat (Sumbar). Diketahui pada Sabtu lalu (43) tiga dari empat pelaku penjual emas palsu di Solok Selatan diringkus polisi. Dua pelaku sebelumnya berhasil ditangkap warga setempat di kawasan Pasar Muara Labuh sebelum diamankan petugas.,2020-04-07 13:01:00,Gatra.com,https://www.gatra.com/detail/news/474550/hukum/jual-emas-palsu-tiga-pria-di-sumbar-diringkus-1-dpo,Hukum
47,Korupsi Mantan Bupati Kudus Divonis 8 Tahun Penjara ,Majelis Hakim Tindak Pidana Korupsi (Tipikor) Kota Semarang memvonis Bupati Kudus nonaktif HM Tamzil delapan tahun penjara dan denda Rp250 juta dalam kasus jual beli jabatan dan gratifikasi di lingkungan Pemkab Kudus.,2020-04-06 13:56:00,Gatra.com,https://www.gatra.com/detail/news/474589/hukum/korupsi-mantan-bupati-kudus-divonis-8-tahun-penjara-,Hukum
48,Teroris Sibolga Azmil Khair Simanjuntak Meninggal di Penjara, Azmil Khair Simanjuntak alias Ameng Narapidana Teroris (Napiter) jaringan Sibolga meninggal dunia dan dikebumikan dikampung halamannya di Kabupaten Tapanuli Tengah (Tapteng) Minggu (54). Azmir kabarnya meninggal dunia karena sakit.,2020-04-06 05:38:00,Gatra.com,https://www.gatra.com/detail/news/474564/hukum/teroris-sibolga-azmil-khair-simanjuntak-meninggal-di-penjara,Hukum
49,Stok Beras Bulog Subdivre Rengat Aman Sampai 6 bulan,Perum Bulog Subdivre Rengat Kabupaten Indragiri Hulu Provinsi Riau memastikan ketersediaan stok beras bulog aman hingga enam bulan ke depan. ,2020-04-06 21:02:00,Gatra.com,https://www.gatra.com/detail/news/474659/hukum/stok-beras-bulog-subdivre-rengat-aman-sampai-6-bulan,Hukum
50, Syarifuddin Terpilih Menjadi Ketua MA Gantikan Hatta Ali,Muhammad Syarifuddin Wakil Ketua Mahkamah Agung bidang Yudisial terpilih menjadi Ketua Mahkamah Agung yang baru menggantikan Hatta Ali yang memasuki usia pensiun.,2020-04-06 14:08:00,Gatra.com,https://www.gatra.com/detail/news/474590/hukum/-syarifuddin-terpilih-menjadi-ketua-ma-gantikan-hatta-ali,Hukum
51,InTi Serahkan APD Standar WHO ke Polres Labuhanbatu,Pimpinan Cabang Indonesia Tionghoa (InTi) menyerahkan 14 Alat Pelindung Diri (APD) kepada pihak Kepolisian Resort (Polres) Labuhanbatu. Penyerahan tersebut dilakukan guna mendukung tugas Polri dalam mencegah penyebaran Covid 19. ,2020-04-07 02:37:00,Gatra.com,https://www.gatra.com/detail/news/474671/hukum/inti-serahkan-apd-standar-who-ke-polres-labuhanbatu,Hukum
52,Polri Akan Tindak Pihak Yang Ngeyel Masih Kumpu-kumpul,Kepala Biro Penerangan Masyarakat (Karopenmas) Divisi Humas Polri Brigjen Pol Argo Yuwono menyampaikan bahwa pihaknya akan menindak pihakpihak yang masih tidak mengindahkan peraturan Pemerintah tentang Pembatasan Phsycal Distancing atau jaga jarak yang dilakukan ditengah pandemi Virus Covid19 kali ini.,2020-04-06 13:38:00,Gatra.com,https://www.gatra.com/detail/news/474586/hukum/polri-akan-tindak-pihak-yang-ngeyel-masih-kumpu-kumpul,Hukum
53, Porli Telah Bubarkan 10.873 Kerumunan Massa Selama Pandemi,Kepala Biro Penerangan Masyarakat (Karopenmas) Divisi Humas Polri Brigjen Pol Argo Yuwono menjelaskan pihaknya telah melakukan berbagai metode pengawasan baik secara patroli maupun melalu media sosial dalam rangka mencegah aktivitas. kerumunan massa atau kumpulkumpul ditengah Pandemi Corona,2020-04-06 14:25:00,Gatra.com,https://www.gatra.com/detail/news/474592/hukum/-porli-telah-bubarkan-10873-kerumunan-massa-selama-pandemi,Hukum
54,Marwan Ketua MA Baru Angin Segar Penegakan Hukum Indonesia,M. Syarifuddinterpilih sebagai Ketua Mahkamah Agung yang baru atau periode 20202025. Ia menggantikan Hatta Ali yang sudah dua periode menjabat dan akan pensiun Selasa (74) 2020. Terpilihnya Syarifuddin diharapkan mampu membawa angin segar dalam penegakan hukum di Indonesia.,2020-04-06 15:38:00,Gatra.com,https://www.gatra.com/detail/news/474610/hukum/marwan-ketua-ma-baru-angin-segar-penegakan-hukum-indonesia,Hukum
55,Tak Terima Vonis Hakim Tamzil Siapkan Banding,  Bupati Kudus nonaktif HM Tamzil bakal mengajukan banding atas vonis Majelis Hakim Tipikor Kota Semarang yang menjatuhkan hukuman 8 tahun pejara dan denda Rp250 juta serta pencabutan hak politik selama tiga tahun dalam kasus jual beli jabatan dan gratifikasi di lingkungan Pemkab Kudus.,2020-04-06 15:24:00,Gatra.com,https://www.gatra.com/detail/news/474600/hukum/tak-terima-vonis-hakim-tamzil-siapkan-banding,Hukum
56,Satpol PP Kota Semarang Bubarkan Kerumunan di Rental PS, Petugas dari Satuan Polisi Pamong Praja (Satpol PP) Kota Semarang kembali dikerahkan untuk merazia tempat tempat berkumpulnya masyarakat termasuk arena gim Play Station.,2020-04-04 18:27:00,Gatra.com,https://www.gatra.com/detail/news/474456/hukum/satpol-pp-kota-semarang-bubarkan-kerumunan-di-rental-ps,Hukum
